mois;trimestre
janv-00;1_t_00
févr-00;1_t_00
mars-00;1_t_00
avr-00;2_t_00
mai-00;2_t_00
juin-00;2_t_00
juil-00;3_t_00
août-00;3_t_00
sept-00;3_t_00
oct-00;4_t_00
nov-00;4_t_00
déc-00;4_t_00
janv-01;1_t_01
févr-01;1_t_01
mars-01;1_t_01
avr-01;2_t_01
mai-01;2_t_01
juin-01;2_t_01
juil-01;3_t_01
août-01;3_t_01
sept-01;3_t_01
oct-01;4_t_01
nov-01;4_t_01
déc-01;4_t_01
janv-02;1_t_02
févr-02;1_t_02
mars-02;1_t_02
avr-02;2_t_02
mai-02;2_t_02
juin-02;2_t_02
juil-02;3_t_02
août-02;3_t_02
sept-02;3_t_02
oct-02;4_t_02
nov-02;4_t_02
déc-02;4_t_02
janv-03;1_t_03
févr-03;1_t_03
mars-03;1_t_03
avr-03;2_t_03
mai-03;2_t_03
juin-03;2_t_03
juil-03;3_t_03
août-03;3_t_03
sept-03;3_t_03
oct-03;4_t_03
nov-03;4_t_03
déc-03;4_t_03
janv-04;1_t_04
févr-04;1_t_04
mars-04;1_t_04
avr-04;2_t_04
mai-04;2_t_04
juin-04;2_t_04
juil-04;3_t_04
août-04;3_t_04
sept-04;3_t_04
oct-04;4_t_04
nov-04;4_t_04
déc-04;4_t_04
janv-05;1_t_05
févr-05;1_t_05
mars-05;1_t_05
avr-05;2_t_05
mai-05;2_t_05
juin-05;2_t_05
juil-05;3_t_05
août-05;3_t_05
sept-05;3_t_05
oct-05;4_t_05
nov-05;4_t_05
déc-05;4_t_05
janv-06;1_t_06
févr-06;1_t_06
mars-06;1_t_06
avr-06;2_t_06
mai-06;2_t_06
juin-06;2_t_06
juil-06;3_t_06
août-06;3_t_06
sept-06;3_t_06
oct-06;4_t_06
nov-06;4_t_06
déc-06;4_t_06
janv-07;1_t_07
févr-07;1_t_07
mars-07;1_t_07
avr-07;2_t_07
mai-07;2_t_07
juin-07;2_t_07
juil-07;3_t_07
août-07;3_t_07
sept-07;3_t_07
oct-07;4_t_07
nov-07;4_t_07
déc-07;4_t_07
janv-08;1_t_08
févr-08;1_t_08
mars-08;1_t_08
avr-08;2_t_08
mai-08;2_t_08
juin-08;2_t_08
juil-08;3_t_08
août-08;3_t_08
sept-08;3_t_08
oct-08;4_t_08
nov-08;4_t_08
déc-08;4_t_08
janv-09;1_t_09
févr-09;1_t_09
mars-09;1_t_09
avr-09;2_t_09
mai-09;2_t_09
juin-09;2_t_09
juil-09;3_t_09
août-09;3_t_09
sept-09;3_t_09
oct-09;4_t_09
nov-09;4_t_09
déc-09;4_t_09
janv-10;1_t_10
févr-10;1_t_10
mars-10;1_t_10
avr-10;2_t_10
mai-10;2_t_10
juin-10;2_t_10
juil-10;3_t_10
août-10;3_t_10
sept-10;3_t_10
oct-10;4_t_10
nov-10;4_t_10
déc-10;4_t_10
janv-11;1_t_11
févr-11;1_t_11
mars-11;1_t_11
avr-11;2_t_11
mai-11;2_t_11
juin-11;2_t_11
juil-11;3_t_11
août-11;3_t_11
sept-11;3_t_11
oct-11;4_t_11
nov-11;4_t_11
déc-11;4_t_11
janv-12;1_t_12
févr-12;1_t_12
mars-12;1_t_12
avr-12;2_t_12
mai-12;2_t_12
juin-12;2_t_12
juil-12;3_t_12
août-12;3_t_12
sept-12;3_t_12
oct-12;4_t_12
nov-12;4_t_12
déc-12;4_t_12
janv-13;1_t_13
févr-13;1_t_13
mars-13;1_t_13
avr-13;2_t_13
mai-13;2_t_13
juin-13;2_t_13
juil-13;3_t_13
août-13;3_t_13
sept-13;3_t_13
oct-13;4_t_13
nov-13;4_t_13
déc-13;4_t_13
janv-14;1_t_14
févr-14;1_t_14
mars-14;1_t_14
avr-14;2_t_14
mai-14;2_t_14
juin-14;2_t_14
juil-14;3_t_14
août-14;3_t_14
sept-14;3_t_14
oct-14;4_t_14
nov-14;4_t_14
déc-14;4_t_14
janv-15;1_t_15
févr-15;1_t_15
mars-15;1_t_15
avr-15;2_t_15
mai-15;2_t_15
juin-15;2_t_15
juil-15;3_t_15
août-15;3_t_15
sept-15;3_t_15
oct-15;4_t_15
nov-15;4_t_15
déc-15;4_t_15
