id_vente;nombre;poids;CA;nom;mois;nom_site
213432;49892;1019;202642;Carambar;janv-00;Cassis_H
213433;50190;1038;202498;Carambar;janv-01;Cassis_H
213434;50001;1050;203901;Carambar;janv-00;Roubaix_H
213435;49922;999;201510;Carambar;janv-01;Roubaix_H
213436;50011;1002;202018;Carambar;janv-08;Bron_H
213437;49969;1014;202424;Carambar;janv-08;Cassis_E
213438;49934;997;202663;Carambar;janv-08;Cassis_H
213439;49995;972;201865;Carambar;juin-11;Bastille_E
213440;49788;1035;201812;Carambar;sept-03;Bastille_E
213441;49861;1006;203171;Carambar;oct-03;Bastille_E
213442;50035;1039;201998;Guimauve;janv-00;La_pause_bonbon
213443;50071;941;202620;Guimauve;janv-01;La_pause_bonbon
213444;50032;1015;200975;Carambar;janv-02;Bron_H
213445;49969;969;202837;Carambar;avr-05;Bastille_E
213446;50093;1037;203053;Carambar;mai-05;Bastille_E
213447;50108;1078;202405;Carambar;sept-05;Bastille_E
213448;49969;1105;201684;Carambar;oct-05;Bastille_E
213449;49934;966;202178;Carambar;janv-03;Bron_H
213450;50084;958;201809;Carambar;janv-04;Bron_H
213451;50091;977;201779;Carambar;janv-05;Bron_H
213452;50188;1042;202863;Carambar;avr-06;Bastille_E
213453;50048;1030;202674;Carambar;mai-06;Bastille_E
213454;50025;1011;202296;Carambar;janv-06;Bron_H
213455;50033;1051;202328;Carambar;janv-07;Bron_H
213456;50226;975;201671;Carambar;janv-11;Bron_H
213457;50062;1014;201994;Carambar;juin-11;Bron_H
213458;50099;943;202179;Carambar;janv-12;Bron_H
213459;49882;1001;200739;Carambar;janv-13;Bron_H
213460;49806;977;202345;Carambar;janv-14;Bron_H
213461;49968;983;203241;Dragibus;janv-08;Bron_H
213462;49898;1020;202857;Carambar;juin-12;Bron_H
213463;49970;1035;202673;Carambar;juin-13;Bron_H
213464;49991;994;202206;Carambar;juin-14;Bron_H
213465;49898;988;201784;Dragibus;janv-08;Cassis_H
213466;50035;1025;202924;Dragibus;janv-08;Roubaix_H
213467;50051;992;202210;Dragibus;janv-08;La_pause_bonbon
213468;49957;1035;201605;Arlequin;janv-08;Bron_H
213469;50262;965;201983;Arlequin;janv-08;Roubaix_H
213470;50165;1000;201743;Carambar;janv-04;Cassis_E
213471;50031;1022;202347;Carambar;janv-05;Cassis_E
213472;50123;1027;203005;Carambar;avr-11;Bastille_E
213473;50217;1116;202742;Carambar;mai-11;Bastille_E
213474;49844;1011;202637;Arlequin;janv-08;La_pause_bonbon
213475;49987;1022;203076;Carambar;janv-08;Neuilly_Sup
213476;49933;1058;202880;Carambar;sept-13;Bastille_E
213477;49902;973;201396;Carambar;oct-13;Bastille_E
213478;49969;1010;202527;Carambar;avr-14;Bastille_E
213479;49972;1043;202464;Carambar;mai-14;Bastille_E
213480;50091;973;202089;Carambar;sept-14;Bastille_E
213481;49904;959;201052;Carambar;oct-14;Bastille_E
213482;50013;1021;202067;Carambar;nov-02;Bron_H
213483;49935;982;201938;Carambar;nov-03;Bron_H
213484;49956;1079;200822;Dragibus;janv-01;Bron_H
213485;49938;926;201433;Carambar;janv-02;Cassis_H
213486;50092;1009;200431;Dragibus;janv-00;Cassis_H
213487;50016;1034;203240;Dragibus;janv-01;Cassis_H
213488;49952;1008;202899;Dragibus;janv-00;Roubaix_H
213489;50011;1157;202215;Carambar;juin-02;Cassis_H
213490;50018;933;203111;Dragibus;janv-01;Roubaix_H
213491;50085;980;201368;Dragibus;janv-00;La_pause_bonbon
213492;50010;956;202652;Carambar;nov-04;Bron_H
213493;49936;946;201786;Carambar;nov-05;Bron_H
213494;50226;933;202587;Carambar;janv-03;Cassis_H
213495;49951;990;201620;Carambar;janv-04;Cassis_H
213496;50140;1039;202906;Carambar;janv-05;Cassis_H
213497;49992;1075;201268;Dragibus;janv-01;La_pause_bonbon
213498;50017;1013;201698;Arlequin;janv-00;Bron_H
